Nome do Programa;Código do Programa;Nome da IES;Sigla da IES;UF;ME;DO;MP;DP
Ciência e Tecnologia de Alimentos;50005014001P3;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFMT;MT;3;-;-;-
GOVERNANÇA E INOVAÇÃO EM POLÍTICAS PÚBLICAS;53001010115P5;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;A;-
ADMINISTRAÇÃO;53001010055P2;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;5;-
ADMINISTRAÇÃO;51001012023P4;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;4;4;-;-
ADMINISTRAÇÃO;53001010016P7;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
Administração;52016013002P3;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;GO;-;-;3;-
Administração;52001016068P0;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
ADMINISTRAÇÃO PÚBLICA;53019016002P5;INSTITUTO BRASILIENSE DE DIREITO PÚBLICO;IDP;DF;-;-;3;-
ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;53045009001P3;ASSOCIAÇÃO NACIONAL DOS DIRIGENTES DAS INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR;ANDIFES;DF;-;-;3;-
AGRICULTURA TROPICAL;50001019002P4;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;5;5;-;-
AGRONEGÓCIO;52001016032P6;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
AGRONEGÓCIOS;53001010063P5;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;-;-;-
Agronegócios;51005018012P8;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;4;4;-;-
AGRONOMIA;51004011001P0;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;4;4;-;-
AGRONOMIA;52001016006P5;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
AGRONOMIA;53001010071P8;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
AGRONOMIA;51005018001P6;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;5;5;-;-
Agronomia;51001012034P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
Agronomia;50001019034P3;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
AGRONOMIA - Sustentabilidade na Agriculltura;51004011007P8;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;3;-;-;-
